Fiscal Year,Scope,Source,CO2 (MTCDE),source_level
2015,1,Co-gen Plant,1.16,1
2015,1,University Fleet,0.09,1
2015,1,Fertilizer,0.0,0
2015,1,Gas Heating,0.02,0
2015,2,Electricity,1.37,1
2015,3,Commuting,0.09,1
2015,3,Air Travel,0.78,1
2015,3,FERA,0.15,1
2015,3,Bus Travel,0.0,0
2015,3,Solid Waste,0.0,0
2015,3,T&D Losses,0.07,0
2016,1,Co-gen Plant,1.33,1
2016,1,University Fleet,0.09,1
2016,1,Fertilizer,0.0,0
2016,1,Gas Heating,0.01,0
2016,2,Electricity,1.12,1
2016,3,Commuting,0.1,1
2016,3,Air Travel,0.87,1
2016,3,FERA,0.17,1
2016,3,Bus Travel,0.0,0
2016,3,Solid Waste,0.0,0
2016,3,T&D Losses,0.05,0
2017,1,Co-gen Plant,1.54,1
2017,1,University Fleet,0.13,1
2017,1,Fertilizer,0.0,0
2017,1,Gas Heating,0.01,0
2017,2,Electricity,1.21,1
2017,3,Commuting,0.1,1
2017,3,Air Travel,0.88,1
2017,3,FERA,0.2,1
2017,3,Bus Travel,0.0,0
2017,3,Solid Waste,0.0,0
2017,3,T&D Losses,0.05,0
2018,1,Co-gen Plant,1.28,1
2018,1,University Fleet,0.08,1
2018,1,Fertilizer,0.0,0
2018,1,Gas Heating,0.05,0
2018,2,Electricity,0.99,1
2018,3,Commuting,0.11,1
2018,3,Air Travel,0.88,1
2018,3,FERA,0.17,1
2018,3,Bus Travel,0.0,0
2018,3,Solid Waste,0.0,0
2018,3,T&D Losses,0.05,0
2019,1,Co-gen Plant,1.49,1
2019,1,University Fleet,0.09,1
2019,1,Fertilizer,0.0,0
2019,1,Gas Heating,0.06,0
2019,2,Electricity,1.17,1
2019,3,Commuting,0.11,1
2019,3,Air Travel,0.92,1
2019,3,FERA,0.2,1
2019,3,Bus Travel,0.0,0
2019,3,Solid Waste,0.0,0
2019,3,T&D Losses,0.06,0
2020,1,Co-gen Plant,1.48,1
2020,1,University Fleet,0.1,1
2020,1,Fertilizer,0.0,0
2020,1,Gas Heating,0.05,0
2020,2,Electricity,1.01,1
2020,3,Commuting,0.12,1
2020,3,Air Travel,1.53,1
2020,3,FERA,0.19,1
2020,3,Bus Travel,0.0,0
2020,3,Solid Waste,0.0,0
2020,3,T&D Losses,0.06,0
2021,1,Co-gen Plant,1.7,1
2021,1,University Fleet,0.09,1
2021,1,Fertilizer,0.0,0
2021,1,Gas Heating,0.01,0
2021,2,Electricity,1.1,1
2021,3,Commuting,0.47,1
2021,3,Air Travel,0.28,1
2021,3,FERA,0.22,1
2021,3,Bus Travel,0.0,0
2021,3,Solid Waste,0.0,0
2021,3,T&D Losses,0.06,0
2022,1,Co-gen Plant,1.62,1
2022,1,University Fleet,0.13,1
2022,1,Fertilizer,0.0,0
2022,1,Gas Heating,0.01,0
2022,2,Electricity,1.12,1
2022,3,Commuting,0.4599999999999999,1
2022,3,Air Travel,1.01,1
2022,3,FERA,0.21,1
2022,3,Bus Travel,0.0,0
2022,3,Solid Waste,0.0,0
2022,3,T&D Losses,0.06,0
2023,1,Co-gen Plant,1.59,1
2023,1,University Fleet,0.16,1
2023,1,Fertilizer,0.0,0
2023,1,Gas Heating,0.01,0
2023,2,Electricity,1.14,1
2023,3,Commuting,0.4599999999999999,1
2023,3,Air Travel,1.47,1
2023,3,FERA,0.2,1
2023,3,Bus Travel,0.0,0
2023,3,Solid Waste,0.0,0
2023,3,T&D Losses,0.06,0
